2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Nwaba,Hou,G-F,28.29,30,22.6,47.1,16.6,6.4,68,0.691,154,0.578,63,0.27,0.528,0.559,9.2,3.9,9.2,1,7,1,0.7,0.57,5.8,115,108
,Ivica Zubac,Lac,C,24.12,64,22.5,46.8,15.4,14.8,156,0.788,356,0.652,3,0,0.646,0.686,9.2,7.3,18.2,1.3,7.8,0.38,0.88,1.16,7.9,133.8,101.2
,Desmond Bane,Mem,G,22.84,57,22,45.8,16.1,10.1,43,0.837,197,0.487,213,0.455,0.589,0.605,9.1,3,7.2,1.7,10.4,0.61,0.19,0.84,6.5,115.3,107.1
,James Johnson,Nor,F,34.19,12,25.6,53.3,17.6,14.1,24,0.708,62,0.5,37,0.27,0.465,0.497,9.1,3.9,8.4,2.6,13.5,0.83,1.25,1.5,7.1,100.2,105.1
,Isaiah Roby,Okc,F,23.23,51,23.7,49.4,17.7,19,104,0.731,272,0.551,88,0.33,0.538,0.571,9.1,5.8,12.7,1.9,12.2,0.84,0.67,1.86,7.8,104.5,103
,Dario Saric,Pho,F-C,27.06,41,17.5,36.5,23.4,13.5,78,0.872,175,0.526,118,0.339,0.519,0.568,9.1,4,12.8,1.3,10.9,0.59,0.07,1.24,8.3,108.2,100.4
,Patrick Williams,Chi,F,19.67,61,28,58.3,14.7,14.6,99,0.758,332,0.515,121,0.38,0.53,0.559,9.1,4.6,9.2,1.4,6.7,0.87,0.64,1.39,5.5,103.8,109.4
,Cody Zeller,Cha,F-C,28.56,39,20.9,43.5,18.1,11.7,89,0.742,236,0.589,26,0.154,0.553,0.591,9.1,6.9,18,1.9,13.9,0.59,0.36,1.03,9.4,122.3,102.2
,Tony Bradley,Okc,C-F,23.3,16,18.4,38.4,18.7,17.1,34,0.706,90,0.656,2,0,0.641,0.664,8.9,6.1,17.4,0.8,7.3,0.5,0.69,1.38,7.6,118.9,105.4
,R.J. Hampton,Orl,G,20.22,17,23,47.9,19.9,13.9,33,0.606,98,0.5,42,0.262,0.468,0.489,8.9,4,9.1,1.6,10.7,0.76,0.29,1.47,6.7,92.5,108.6
,Danuel House Jr.,Hou,F-G,27.89,33,26.8,55.9,14.9,10.1,59,0.661,107,0.477,144,0.354,0.508,0.531,8.9,3.8,7.5,1.8,9.9,0.61,0.48,0.94,5.9,105,111.1
,Paul Millsap,Den,F,36.21,49,21,43.8,17.9,10.2,86,0.709,213,0.563,128,0.352,0.55,0.575,8.9,4.8,13,1.7,10.8,0.86,0.69,0.88,7.9,117.4,104.2
,Bruce Brown,Bro,G-F,24.7,57,22.3,46.5,16,10.5,106,0.736,317,0.59,55,0.291,0.567,0.597,8.8,5.2,13,1.6,9.6,0.89,0.37,0.86,7.5,122.5,104.9
,Michael Carter-Williams,Orl,G,29.55,31,25.8,53.7,20.3,18.4,80,0.613,209,0.431,61,0.246,0.417,0.449,8.8,4.5,9.1,4.1,23.9,0.81,0.55,2.23,8.5,92.4,106.3
,Robin Lopez,Was,C,33.07,61,19.4,40.5,16.4,13.9,120,0.708,333,0.655,18,0.278,0.642,0.664,8.8,3.9,10.5,0.8,6.2,0.23,0.61,1.07,6.2,123.6,110
,Robert Covington,Por,F,30.37,60,32.1,67,11.9,11.6,53,0.83,142,0.458,306,0.379,0.533,0.554,8.7,6.7,11.2,1.7,6.9,1.47,1.23,1.03,5.8,111,108.4
,Isaiah Hartenstein,Cle,C-F,22.98,14,18.7,38.9,19,18.5,33,0.667,73,0.644,5,0.4,0.641,0.659,8.7,6.6,19.7,2.4,21,0.5,1.29,1.5,11,120.3,96.9
,Talen Horton-Tucker,Lal,G,20.42,57,19.7,41,21.6,14.9,103,0.796,308,0.519,119,0.261,0.484,0.524,8.7,2.7,7.7,2.5,19,0.98,0.35,1.46,7.9,101.6,99.1
,Frank Jackson,Det,G,22.99,33,16.8,35,20.9,10.9,53,0.792,97,0.526,116,0.414,0.577,0.609,8.7,2,6.6,0.7,6.7,0.24,0.03,0.88,5.5,110.8,110.1
,JJ Redick,Nor,G,36.84,31,18.6,38.8,19.1,9.6,47,0.957,74,0.486,140,0.364,0.526,0.575,8.7,1.7,5,1.3,9.5,0.29,0.06,0.81,5.8,112.7,112.7
,Hamidou Diallo,Det,G,22.75,15,20.3,42.4,20.7,13.1,38,0.684,88,0.432,21,0.429,0.472,0.513,8.6,4.4,12,1.1,8.7,0.53,0.53,1.27,6.8,99.8,102.2
,James Ennis III,Orl,F,30.83,40,24.3,50.5,14,11.8,85,0.812,138,0.5,102,0.441,0.569,0.616,8.6,4.2,9,1.5,9.2,0.8,0.18,0.93,6.2,119.7,108
,Trevor Ariza,Mia,F,35.83,22,27.3,56.8,14.6,7.2,32,0.75,65,0.446,101,0.347,0.491,0.519,8.5,4.6,9.6,1.8,9.7,0.77,0.59,0.64,6,107.8,106.8
,Avery Bradley,Mia,G,30.42,10,21.1,43.9,16.9,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.8,1.4,10.2,0.7,0.1,0.9,5.3,109.8,101.6
,Moses Brown,Okc,C,21.54,33,20.2,42.2,17.6,12.3,98,0.633,199,0.548,0,0,0.548,0.578,8.5,8.2,21.3,0.2,1.4,0.64,1.03,1.03,4.8,116.2,102.7
,Isaac Okoro,Cle,F-G,20.26,57,31.8,66.3,13.1,13.5,110,0.736,258,0.508,166,0.289,0.479,0.515,8.5,2.9,5.1,1.8,7.8,1.04,0.4,1.3,4.5,101.2,109.9
,Jakob Poeltl,San,C,25.54,60,26.4,54.9,13.5,16.2,110,0.491,361,0.629,0,0,0.629,0.62,8.5,8,16,1.9,9.9,0.65,1.77,1.32,7.7,122.6,104
,Dewayne Dedmon,Mia,C,31.71,8,13.4,27.8,20.9,14.1,17,0.882,32,0.813,3,0,0.743,0.789,8.4,5.9,24.9,0.4,5.1,0.63,0.63,0.88,8.1,141.2,93.4
,Luke Kennard,Lac,G,24.84,57,19.9,41.4,16.9,10.4,29,0.828,172,0.5,202,0.46,0.603,0.614,8.3,2.7,7.6,1.7,12,0.33,0.16,0.79,6.8,117.8,108
,Raul Neto,Was,G,28.94,56,21.1,44,16.1,10,63,0.857,241,0.506,145,0.379,0.53,0.56,8.3,2.3,5.8,2.1,13.9,1.13,0.07,0.82,6.5,111.4,108.6
,Mitchell Robinson,Nyk,C-F,23.08,31,27.5,57.3,11.7,11.5,53,0.491,176,0.653,0,0,0.653,0.642,8.3,8.1,16.1,0.5,2.9,1.13,1.45,0.84,4.7,130.1,99.6
,Nicolas Batum,Lac,G-F,32.37,60,28.1,58.5,11.8,11.3,54,0.852,128,0.555,249,0.41,0.594,0.616,8.2,4.8,9.6,2.3,10.6,1.05,0.53,0.85,6.4,123.7,108.2
,Sterling Brown,Hou,G-F,26.21,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.585,0.598,8.2,4.4,9.7,1.4,8.5,0.75,0.24,0.8,6.1,114,108.9
,Anfernee Simons,Por,G,21.89,54,16.6,34.5,19.5,8.9,49,0.776,103,0.379,245,0.445,0.582,0.599,8.2,2.2,7.1,1.4,12.6,0.3,0.13,0.67,7.1,118.6,111.6
,JaMychal Green,Den,F-C,30.86,48,18.7,38.9,17.9,12,45,0.844,143,0.538,161,0.41,0.579,0.602,8.1,4.9,14.8,0.8,5.5,0.5,0.35,0.92,6.8,115.8,100.1
,T.J. McConnell,Ind,G,29.09,58,25.6,53.3,14.7,20.9,38,0.658,351,0.581,37,0.351,0.576,0.583,8.1,3.6,7.6,6.6,35.2,1.74,0.34,1.84,9,118,109.2
,Taurean Prince,Bro,F,27.1,12,18.2,37.8,19.4,11.4,27,0.889,37,0.459,37,0.351,0.493,0.565,8.1,2.8,8.7,0.6,4.3,0.67,0.67,0.92,5.2,105.2,106
,Ricky Rubio,Min,G,30.52,59,26,54.1,15.9,17.6,132,0.856,248,0.427,171,0.298,0.436,0.501,8.1,3.2,6.7,6.5,34.3,1.42,0.05,1.73,8.5,110.3,110.2
,Hassan Whiteside,Sac,C,31.88,36,15.2,31.6,23.5,13.4,79,0.519,223,0.565,1,0,0.563,0.566,8.1,6,22,0.6,5.6,0.25,1.28,1.11,8.1,107.1,104.8
,Robert Williams III,Bos,C-F,23.53,48,18.9,39.3,15.3,15.6,65,0.646,240,0.725,2,0,0.719,0.721,8.1,7,20.7,1.7,13.8,0.85,1.81,1.04,9.7,137,100.1
,Patrick Beverley,Lac,G,32.8,31,23.4,48.8,14.3,11.5,41,0.805,65,0.462,125,0.416,0.568,0.598,8,3.6,8.6,2.1,11.8,0.84,0.77,0.87,6.7,121.3,100.3
,JaVale McGee,Cle,C-F,33.27,33,15.2,31.8,24.7,15.8,55,0.655,195,0.549,20,0.25,0.533,0.554,8,5.2,18.9,1,11.3,0.48,1.21,1.36,9.1,102.9,96.8
,Otto Porter Jr.,Orl,F,27.9,3,22.2,46.2,17.7,0,5,1,16,0.5,9,0.111,0.38,0.441,8,4.7,11,1.7,11.3,1.33,0,0,7.2,101.3,106.8
,Terence Davis,Sac,G,23.95,17,17.9,37.3,19.6,13,13,0.692,45,0.533,70,0.371,0.548,0.559,7.9,2.5,7.7,1.1,8.2,0.71,0.24,1.06,6.2,101,114.3
,Gorgui Dieng,Mem,C,31.28,22,16.9,35.2,17,14.8,43,0.884,60,0.55,48,0.479,0.625,0.682,7.9,4.5,14.1,1.3,10.6,0.77,0.64,1,8.5,126.8,102.4
,Garrett Temple,Chi,G-F,34.98,46,27.1,56.4,13.4,12.5,40,0.825,150,0.513,169,0.349,0.519,0.541,7.9,2.8,5.8,2.2,10.7,0.78,0.46,1.04,5.4,106.7,108.9
,Tristan Thompson,Bos,C-F,30.13,48,23.3,48.6,15.2,13.4,110,0.609,290,0.534,3,0,0.529,0.552,7.9,8.1,19.3,1.1,6.9,0.42,0.52,1.1,7.1,116.2,104.8
,Chuma Okeke,Orl,F,22.7,45,25.2,52.4,14.5,10,40,0.75,183,0.47,141,0.348,0.492,0.511,7.8,4,8.4,2.2,13.1,1.07,0.51,0.84,6.5,106.6,112.2
,Tomas Satoransky,Chi,G,29.5,50,23.2,48.3,15.1,21.3,69,0.87,182,0.582,105,0.371,0.573,0.613,7.8,2.5,5.9,4.9,28.1,0.8,0.24,1.72,7.9,118.1,110.2
,Delon Wright,Sac,G,29.01,17,21.5,44.8,15.8,9.7,31,0.839,71,0.437,37,0.405,0.495,0.547,7.8,2.9,7.6,2.1,12.9,1.18,0.12,0.76,6.7,114.6,117.2
,Steven Adams,Nor,C,27.78,57,27.7,57.8,11.8,17.9,133,0.444,302,0.626,3,0,0.62,0.601,7.7,8.9,17.6,1.9,9.1,0.95,0.65,1.39,7.3,120.5,108.2
,DeAndre Jordan,Bro,C,32.77,53,22.3,46.4,12.9,22.8,79,0.506,235,0.779,1,0,0.775,0.75,7.7,7.5,18.7,1.7,10.2,0.3,1.21,1.51,8.3,127.8,105.1
,Payton Pritchard,Bos,G,23.25,57,19.5,40.6,16.3,11.7,41,0.902,151,0.497,202,0.416,0.569,0.592,7.7,2.3,6.5,1.9,13.5,0.54,0.16,0.86,6.6,117.1,108.4
,Isaiah Thomas,Nor,G,32.22,3,16.1,33.5,29.7,17.7,2,1,15,0.4,12,0.25,0.389,0.412,7.7,1.3,4.6,1.7,14.9,0.33,0,2,6.4,78.3,113.1
,PJ Dozier,Den,G-F,24.51,47,21.4,44.6,17,10.7,64,0.625,187,0.492,135,0.326,0.491,0.508,7.6,3.7,9.8,1.9,11.4,0.66,0.45,0.89,7,105.2,107.3
,Evan Fournier,Bos,G-F,28.5,8,27.9,58.2,15.9,12.1,8,0.75,29,0.276,40,0.325,0.399,0.421,7.6,2.9,5.7,2,9.4,1.38,0.63,1.25,5.1,87.9,107
,Alex Len,Was,C,27.87,47,16.3,33.9,17.3,14.1,99,0.606,211,0.673,19,0.263,0.65,0.656,7.6,4.3,14.1,0.9,7.8,0.28,1.06,0.96,7.6,120.4,102.1
,Aleksej Pokusevski,Okc,C,19.34,39,23.6,49.2,20.1,18.4,32,0.781,160,0.4,180,0.267,0.4,0.419,7.6,4.7,10.3,2.2,13.3,0.46,1.05,2.05,7.3,80.5,110.8
,Kenrich Williams,Okc,G-F,26.41,62,21.4,44.5,14.9,15.1,61,0.574,263,0.57,104,0.433,0.593,0.597,7.6,4.2,10.3,2.2,15.7,0.77,0.24,1.13,7.7,115.3,105.9
,Armoni Brooks,Hou,G,22.9,10,22.3,46.4,16.3,14.1,5,0.4,10,0.5,61,0.344,0.514,0.512,7.5,3.6,8.6,1.3,8.4,0.4,0.1,1.2,5.9,94.3,111.8
,Henry Ellenson,Tor,F-C,24.29,2,19.2,40,17.8,0,4,0.75,5,0.6,9,0.222,0.429,0.476,7.5,6,17.2,2.5,18.7,0,0.5,0,10.1,120.6,95.3
,Tyrese Maxey,Phi,G,20.48,53,14.7,30.6,22.9,8.2,50,0.86,273,0.52,87,0.276,0.494,0.522,7.5,1.5,5.7,1.7,17.9,0.36,0.17,0.64,7.3,107,104.7
,Cameron Payne,Pho,G,26.72,51,17.3,36.1,19.3,13.8,42,0.857,181,0.508,132,0.409,0.553,0.576,7.5,2.3,7.5,3.6,28.6,0.59,0.24,1.04,9.2,117.3,103.9
,Ben McLemore,Hou,G,28.21,32,16.8,35,21.1,10.5,32,0.719,58,0.431,166,0.331,0.48,0.5,7.4,2.1,6.5,0.9,7.9,0.63,0.09,0.88,5.7,94.7,108.1
,Isaiah Stewart,Det,F-C,19.94,60,20.4,42.5,15,14,74,0.676,298,0.591,31,0.419,0.594,0.61,7.4,6.6,18.1,0.9,6.6,0.53,1.15,0.98,6.9,118.8,100.4
,Brad Wanamaker,Cha,G,31.76,16,19.6,40.9,20,19.9,31,0.871,80,0.513,23,0.13,0.442,0.506,7.4,1.6,4.5,3.7,27.2,0.75,0.31,1.81,7.2,100.4,107.3
,DeMarcus Cousins,Lac,C,30.71,9,12.9,26.9,31,23.3,17,0.588,44,0.5,11,0.364,0.509,0.528,7.3,5.2,22.6,1.2,14.5,0.33,0.33,2.11,11.1,95.1,95.6
,Juancho Hernangomez,Min,F,25.58,44,17,35.4,17.1,6.9,84,0.643,111,0.613,134,0.328,0.547,0.571,7.3,4,12.6,0.6,5.5,0.36,0.14,0.48,6.1,114,112.9
,Austin Rivers,Nyk,G,28.74,21,21.1,43.9,16.4,13.5,14,0.714,58,0.517,77,0.364,0.533,0.545,7.3,2.2,5.8,2,13.9,0.57,0,1.05,6,105.5,105.9
,Dennis Smith Jr.,Det,G,23.43,20,19.6,40.9,18.7,14.8,20,0.7,80,0.463,55,0.345,0.485,0.504,7.3,2.7,7.5,3.7,28.8,1,0.7,1.25,8.5,106.2,106.5
,Edmond Sumner,Ind,G,25.33,48,16,33.3,18.2,14.1,73,0.795,166,0.584,83,0.386,0.582,0.619,7.3,1.8,6.1,0.9,8.1,0.63,0.21,0.96,5.7,110.2,107.3
,Mo Bamba,Orl,C,22.97,38,13.8,28.8,22.1,10.1,41,0.659,134,0.567,89,0.36,0.556,0.57,7.2,4.9,18.5,0.6,7.4,0.24,1.05,0.71,8,111.5,100.9
,Nemanja Bjelica,Sac,F,32.97,26,16.9,35.2,19.3,14.3,42,0.762,92,0.565,58,0.293,0.517,0.555,7.2,3.8,12.7,1.9,15.3,0.31,0.08,1.08,8.8,110,110.6
,Justin Jackson,Okc,F,26.09,33,16.5,34.4,20.3,12,35,0.857,101,0.515,111,0.306,0.486,0.519,7.2,2.2,6.8,1.5,14.5,0.45,0.06,0.94,7,101.7,111.7
,Kenyon Martin Jr.,Hou,F,20.31,35,20.4,42.5,14.4,9.6,60,0.717,147,0.565,44,0.318,0.545,0.577,7.2,4.6,12,0.6,4.6,0.63,0.91,0.66,5.3,116.5,108.4
,Maxi Kleber,Dal,F,29.25,45,27.2,56.7,10.5,10,35,0.914,59,0.441,187,0.417,0.581,0.608,7.1,5.3,10.7,1.4,6.5,0.53,0.73,0.64,5.5,122.1,107
,Markieff Morris,Lal,F,31.66,54,20.4,42.6,16.4,12,43,0.744,149,0.55,198,0.313,0.504,0.522,7.1,4.5,12.4,1.1,7.9,0.35,0.33,0.93,6.4,102.2,100.8
,Moritz Wagner,Was,F-C,24.01,25,15,31.3,18.4,12.7,52,0.788,80,0.613,42,0.31,0.561,0.614,7.1,2.9,10.3,1.3,11.9,0.88,0.32,0.84,8,116.4,96.9
,Pat Connaughton,Mil,G,28.31,58,23,47.8,11.7,7.5,35,0.743,102,0.588,226,0.385,0.581,0.593,7,4.8,11,1.2,6.5,0.64,0.34,0.48,6,122.5,106.5
,Mike James,Bro,G,30.7,3,16.4,34.2,16.4,5.4,8,0.625,11,0.455,3,0.667,0.571,0.599,7,2,6.8,3.7,29.8,0.33,0,0.33,9.1,139.6,119.5
,Derrick Jones Jr.,Por,F,24.2,54,23.4,48.7,12.2,8.1,86,0.64,160,0.606,133,0.323,0.551,0.571,7,3.7,8.5,0.8,4.6,0.67,0.98,0.54,4.7,120.1,110.8
,Royce O'Neale,Uta,F,27.9,61,31.9,66.4,9.4,16.2,42,0.857,98,0.592,240,0.379,0.575,0.596,7,7,11.6,2.6,10.4,0.75,0.48,1.13,6.3,120.6,101.7
,Terence Davis,Tor,G,23.95,34,14.5,30.2,21.6,11.7,18,0.889,88,0.489,122,0.361,0.519,0.537,6.9,1.9,7.4,1.1,11.6,0.5,0.21,0.85,6.7,100.6,106.7
,Aaron Holiday,Ind,G,24.58,59,17,35.4,19.9,11.4,68,0.809,221,0.394,163,0.368,0.461,0.494,6.9,1.2,3.8,1.6,13.2,0.64,0.17,0.9,5.6,97.2,110
,Terance Mann,Lac,G-F,24.53,61,19.5,40.7,14.8,9.8,83,0.819,239,0.515,85,0.412,0.542,0.581,6.9,3.8,10.9,1.6,11.3,0.48,0.21,0.64,7.1,121.2,103.9
,Svi Mykhailiuk,Det,G-F,23.89,36,17.6,36.7,18.9,14.2,30,0.8,52,0.519,171,0.333,0.504,0.527,6.9,2.1,6.5,1.6,13.5,0.75,0.17,1.08,6.5,99.7,110.7
,Jeff Teague,Bos,G,32.88,34,18.1,37.8,17.8,15.4,61,0.836,132,0.394,56,0.464,0.484,0.542,6.9,1.7,5.2,2.1,16.3,0.76,0.21,1.15,6.4,107.5,109.7
,Torrey Craig,Pho,F,30.36,22,17.6,36.7,15.5,11.1,14,0.786,61,0.623,53,0.396,0.61,0.624,6.8,4.7,15,1,7.4,0.64,0.5,0.68,7.2,121.8,101.6
,Jaden McDaniels,Min,F,20.58,56,23.6,49.1,12.4,10.6,41,0.585,157,0.529,172,0.366,0.54,0.546,6.8,3.7,8.5,1.1,6.3,0.54,0.96,0.73,5.1,106.5,108.4
,Xavier Tillman,Mem,F,22.29,50,18.8,39.2,14.3,11,48,0.667,205,0.62,56,0.321,0.59,0.603,6.8,4.4,12.3,1.3,9.3,0.78,0.56,0.7,7.2,119.2,102.1
,Kent Bazemore,Gol,G-F,31.83,57,18.1,37.7,16.6,16.4,65,0.692,164,0.476,144,0.417,0.545,0.566,6.7,3.1,9,1.6,12.1,0.96,0.47,1.16,7.1,102.1,100.6
,Trey Burke,Dal,G,28.46,51,14.9,31,19.7,7.7,43,0.86,155,0.497,138,0.37,0.524,0.551,6.7,0.9,3.2,1.4,14.1,0.67,0.06,0.51,5.5,111.8,110.3
,Spencer Dinwiddie,Bro,G,28.06,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.3,3,17.5,0.67,0.33,1.67,8.3,102.2,108.6
,Damyean Dotson,Cle,G,26.98,37,18.9,39.4,17.5,10.7,34,0.676,112,0.518,124,0.29,0.475,0.492,6.7,2.1,6.1,2.1,16.6,0.38,0.11,0.81,6.5,100.6,113.6
,Willy Hernangomez,Nor,C-F,26.92,38,16.2,33.8,16.4,8.8,60,0.65,182,0.582,9,0.111,0.563,0.584,6.7,6.3,21.5,0.9,7.6,0.37,0.47,0.55,8.3,124.6,107.3
,Dwight Howard,Phi,C-F,35.39,60,17.3,36,17.9,23.4,182,0.571,233,0.614,18,0.222,0.594,0.607,6.7,8.3,26.5,0.9,6.9,0.45,0.88,1.68,8.5,110.1,89.2
,Tyus Jones,Mem,G,24.97,59,18.2,38,16.8,9.8,36,0.917,244,0.504,126,0.31,0.491,0.513,6.7,2.1,6,3.9,28.7,0.98,0.08,0.71,8.4,114.9,112.9
,Abdel Nader,Pho,F,27.59,24,14.8,30.8,18.9,12.6,37,0.757,73,0.534,43,0.419,0.569,0.605,6.7,2.6,9.8,0.8,7.4,0.42,0.38,0.79,6.5,110.3,103.1
,Rajon Rondo,Lac,G,35.18,11,19.5,40.5,17.6,22.4,9,1,37,0.514,25,0.36,0.524,0.561,6.7,2.6,7.6,5.4,37.1,0.82,0.09,1.73,9.3,118.2,103.5
,Denzel Valentine,Chi,G,27.45,55,17.2,35.8,19.1,9.3,15,0.933,151,0.457,221,0.326,0.476,0.486,6.7,3.3,10.8,1.6,12.9,0.53,0.11,0.71,7.6,99.5,108.7
,Nicolas Claxton,Bro,F-C,22.03,25,18.5,38.5,14.5,9.1,46,0.5,115,0.6,5,0.2,0.588,0.585,6.6,5,14.9,1.1,7.9,0.76,1.2,0.56,7.2,121.4,102.6
,Cory Joseph,Sac,G,29.69,44,21.5,44.7,14.3,14,47,0.766,156,0.513,94,0.33,0.506,0.534,6.6,2.3,5.9,2.5,14.8,0.86,0.2,1,6.3,108.5,112.5
,Timothe Luwawu-Cabarrot,Bro,G-F,25.97,53,19,39.7,17.2,10.3,40,0.8,112,0.455,229,0.314,0.466,0.488,6.6,2.4,7,1.2,8.1,0.6,0.11,0.77,5.6,98.6,107.8
,Justise Winslow,Mem,F-G,25.09,22,19.9,41.5,21.6,15.2,24,0.625,134,0.418,45,0.133,0.363,0.382,6.6,4.3,11.4,2,13.1,0.68,0.55,1.55,7.7,78.7,104.6
,Marquese Chriss,Gol,F,23.83,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.9,1,11.2,0,1,1,10.4,87.5,98.1
,Draymond Green,Gol,F,31.15,54,30.9,64.4,13.1,31.7,68,0.779,211,0.512,110,0.245,0.463,0.499,6.5,6.8,11.8,8.7,36.4,1.67,0.78,3.02,9.4,105.5,101.5
,Damion Lee,Gol,G-F,28.52,57,18.9,39.4,12.8,9.3,44,0.909,80,0.638,194,0.397,0.608,0.636,6.5,3.2,8.9,1.3,9.2,0.67,0.14,0.53,6.4,121,106.2
,Jalen McDaniels,Cha,F-C,23.24,37,16.8,35,17.7,13.3,45,0.711,128,0.531,73,0.329,0.517,0.543,6.5,2.8,9,1,8.7,0.59,0.3,0.92,6.3,102.8,104.1
,Kira Lewis Jr.,Nor,G,20.06,44,16.5,34.3,18.6,8.8,33,0.788,175,0.417,101,0.356,0.46,0.482,6.4,1.2,4,2.3,19.3,0.73,0.23,0.64,6.3,105.5,108.1
,Deni Avdija,Was,F,20.32,54,23.3,48.5,12.1,9,45,0.644,144,0.535,168,0.315,0.502,0.515,6.3,4.8,11,1.2,6.4,0.59,0.28,0.61,5.7,102.5,103.7
,Jaxson Hayes,Nor,C-F,20.93,50,14.8,30.9,14.8,12,85,0.776,183,0.661,7,0.429,0.661,0.697,6.3,3.8,14.3,0.5,4.9,0.38,0.48,0.62,6.2,131.9,104.1
,Frank Kaminsky,Pho,F-C,28.07,37,14.4,30,18.9,7.5,43,0.605,120,0.517,70,0.4,0.547,0.56,6.3,3.5,13.9,1.5,14.7,0.35,0.38,0.46,8.9,116.9,103.1
,Frank Mason,Orl,G,27.07,4,19.8,41.3,17.5,15.6,7,0.714,19,0.368,5,0.4,0.417,0.462,6.3,3,7.9,3,22,0,0,1.25,7.8,98.2,110.1
,Georges Niang,Uta,F,27.87,62,14.9,31,17.1,11.7,13,1,85,0.482,233,0.421,0.591,0.601,6.3,2.5,8.8,0.8,7.5,0.31,0.1,0.69,6.2,112.7,100.7
,Maurice Harkless,Sac,F-G,27.97,17,23.9,49.8,11.6,11,24,0.875,45,0.578,42,0.262,0.489,0.543,6.2,2.8,6.4,1.2,6.2,1,0.65,0.71,4.6,108.4,110.8
,D.J. Augustin,Mil,G,33.47,37,19.3,40.1,14.4,14,40,0.9,63,0.349,129,0.38,0.497,0.542,6.1,1.4,3.7,3,18.8,0.54,0.03,0.92,6.1,114.9,111.5
,Quinn Cook,Cle,G,28.1,7,13.6,28.4,21.7,8.5,3,1,29,0.379,13,0.462,0.476,0.496,6.1,1.7,7.1,1.9,21.7,0.43,0,0.57,7.9,105,108.9
,Malachi Flynn,Tor,G,22.97,37,17,35.5,18.2,10.5,38,0.816,114,0.412,107,0.318,0.443,0.477,6.1,2.1,6.6,2.6,22.3,0.78,0.14,0.76,7.6,103.9,109.2
,Robert Franks,Orl,F,20,7,14.4,30,15.4,5.6,13,0.923,13,0.615,15,0.333,0.554,0.638,6.1,2,7.3,0.7,7.4,0.43,0.43,0.29,5.7,133.1,110
,Ish Smith,Was,G,32.81,34,20.3,42.2,15.6,12.8,27,0.556,176,0.426,37,0.378,0.451,0.46,6.1,3.2,8.4,4.2,27.4,0.65,0.29,0.97,8.6,104.2,109.4
,Chandler Hutchison,Was,F-G,25.01,8,17.5,36.5,17.4,17,11,0.818,33,0.455,11,0.273,0.443,0.491,6,4.1,12.5,0.6,4.7,0.38,0.13,1.25,5.6,87.4,105.3
